timestamp,symbol,side,shares,price,total_value,cash_remaining,reason
2026-06-16 22:42:28,SHOP.TO,BUY,1.2619,158.4900,200.00,9800.00,BUY 68% SWING
2026-06-16 22:42:56,AC.TO,BUY,8.7184,22.9400,200.00,9600.00,BUY 68% SWING
2026-06-16 22:43:10,INTC,BUY,1.7087,117.0500,200.00,9400.00,BUY 65% SWING
2026-06-16 22:43:33,SNDK,BUY,0.1004,1991.5500,199.95,9200.05,BUY 82% LONGTERM
2026-06-16 22:43:45,LRCX,BUY,0.5415,369.3400,200.00,9000.05,BUY 70% LONGTERM
2026-06-16 22:43:50,FCX,BUY,2.8510,70.1500,200.00,8800.05,BUY 70% LONGTERM
2026-06-16 22:44:08,NEM,BUY,1.8443,108.4400,200.00,8600.05,BUY 68% LONGTERM
2026-06-16 22:44:21,MRNA,BUY,3.6101,55.4000,200.00,8400.05,BUY 78% LONGTERM
