timestamp,symbol,side,shares,price,total_value,cash_remaining,reason,confidence
2026-06-29 18:52:30,RY.TO,BUY,1.0000,290.1900,290.19,0.00,AI:BUY conf=70,70
2026-06-29 18:52:44,META,BUY,1.0000,564.8700,564.87,0.00,AI:BUY conf=70,70
2026-06-29 19:12:45,META,SELL,1.0000,163.5100,163.51,0.00,SL,70
2026-06-29 19:12:59,MRNA,BUY,1.0000,69.2000,69.20,0.00,AI:BUY conf=70,70
2026-07-01 13:49:24,MRNA,SELL,1.0000,71.9700,71.97,0.00,TP,70
2026-07-01 19:07:36,RY.TO,SELL,1.0000,293.5900,293.59,0.00,MAX_HOLD,70
